STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,age,Age class,sex,Sex,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,E,"Water supply; sewerage, waste management and remediation activities",TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,253.6,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,1483.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,1468.2,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,1403.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,1415.8,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,1385.3,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,1323.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,1341.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,1430.8,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,1550.7,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,F,Construction,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2023,,1530.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2014,,3226.5,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2015,,3194.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2016,,3241.3,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2017,,3287.1,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2018,,3255.5,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2019,,3256.0,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2020,,3154.9,,,,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2021,,3106.6,,b,break in time series,,
dataflow,ESTAT:LFSA_EISN2(1.0),Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),A,Annual,Y_GE15,15 years or over,T,Total,G,Wholesale and retail trade; repair of motor vehicles and motorcycles,TOTAL,Total,THS_PER,Thousand persons,IT,Italy,2022,,3137.1,,,,,
