wri_tot_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_h,casualties_x1k,m_employment_h,f_employment_h,m_casualties,f_casualties,m_casualties_x1km,f_casualties_x1kf
91,dataflow,FAT,Annual,Number,H,UNK,RO,2015,35,,475.3,0.07,398.7,76.6,30.23,4.77,0.08,0.06
92,dataflow,FAT,Annual,Number,H,UNK,RO,2016,40,,472.4,0.08,402.49,69.91,34.54,5.46,0.09,0.08
93,dataflow,FAT,Annual,Number,H,UNK,RO,2017,28,,492.3,0.06,423.5,68.8,24.18,3.82,0.06,0.06
94,dataflow,FAT,Annual,Number,H,UNK,RO,2018,42,,510.9,0.08,442.1,68.8,36.27,5.73,0.08,0.08
95,dataflow,FAT,Annual,Number,H,UNK,RO,2019,26,,512.2,0.05,448.1,64.1,22.45,3.55,0.05,0.06
96,dataflow,FAT,Annual,Number,H,UNK,RO,2020,22,break in time series,517.5,0.04,455.9,61.6,19,3,0.04,0.05
97,dataflow,FAT,Annual,Number,H,UNK,RO,2021,23,,544,0.04,470.6,73.4,19.86,3.14,0.04,0.04
98,dataflow,FAT,Annual,Number,H,UNK,RO,2022,17,,555.5,0.03,480.89,74.61,14.68,2.32,0.03,0.03
99,dataflow,FAT,Annual,Number,H,UNK,RO,2023,23,,570.3,0.04,493.6,76.7,19.86,3.14,0.04,0.04
100,dataflow,D_GE4,Annual,Number,H,F,BE,2014,710,break in time series,246.5,2.88,0,246.5,0,710,0,2.88
101,dataflow,D_GE4,Annual,Number,H,F,BE,2015,826,,248.9,3.32,0,248.9,0,826,0,3.32
102,dataflow,D_GE4,Annual,Number,H,F,BE,2016,976,,252.4,3.87,0,252.4,0,976,0,3.87
103,dataflow,D_GE4,Annual,Number,H,F,BE,2017,973,,259.5,3.75,0,259.5,0,973,0,3.75
104,dataflow,D_GE4,Annual,Number,H,F,BE,2018,1013,,257.4,3.94,0,257.4,0,1013,0,3.94
105,dataflow,D_GE4,Annual,Number,H,F,BE,2019,984,,276.2,3.56,0,276.2,0,984,0,3.56
106,dataflow,D_GE4,Annual,Number,H,F,BE,2020,760,break in time series,257.4,2.95,0,257.4,0,760,0,2.95
107,dataflow,D_GE4,Annual,Number,H,F,BE,2021,856,,273,3.14,0,273,0,856,0,3.14
108,dataflow,D_GE4,Annual,Number,H,F,BE,2022,922,,277.4,3.32,0,277.4,0,922,0,3.32
109,dataflow,D_GE4,Annual,Number,H,F,BE,2023,971,,272.3,3.57,0,272.3,0,971,0,3.57
110,dataflow,D_GE4,Annual,Number,H,F,CZ,2014,1057,,295.9,3.57,0,295.9,0,1057,0,3.57
111,dataflow,D_GE4,Annual,Number,H,F,CZ,2015,1006,,297.6,3.38,0,297.6,0,1006,0,3.38
112,dataflow,D_GE4,Annual,Number,H,F,CZ,2016,1123,,314.2,3.57,0,314.2,0,1123,0,3.57
