wri_it_id,structure,severity_id,time_frequency,unit_description,activity_id,sex_id,country_id,time_period,obs_value,observation_status,employment_au,casualties_x1k,m_casualties,f_casualties,m_employment_au,f_employment_au,m_casualties_x1km,f_casualties_x1kf
108,dataflow,FAT,Annual,Number,K,UNK,IT,2022,1,,605.1,0,0.53,0.47,319.95,285.15,0,0
109,dataflow,FAT,Annual,Number,K,UNK,IT,2023,0,,606.7,0,0,0,338.66,268.04,0,0
110,dataflow,FAT,Annual,Number,L,UNK,IT,2014,5,,125.7,0.04,2.93,2.07,73.7,52,0.04,0.04
111,dataflow,FAT,Annual,Number,L,UNK,IT,2015,2,,132.3,0.02,1.12,0.88,74.1,58.2,0.02,0.02
112,dataflow,FAT,Annual,Number,L,UNK,IT,2016,0,,140.6,0,0,0,77.2,63.4,0,0
113,dataflow,FAT,Annual,Number,L,UNK,IT,2017,3,,144.2,0.02,1.72,1.28,82.7,61.5,0.02,0.02
114,dataflow,FAT,Annual,Number,L,UNK,IT,2018,3,,147.9,0.02,1.73,1.27,85.34,62.56,0.02,0.02
115,dataflow,FAT,Annual,Number,L,UNK,IT,2019,4,,162.4,0.02,2.14,1.86,86.9,75.5,0.02,0.02
116,dataflow,FAT,Annual,Number,L,UNK,IT,2020,0,break in time series,153.3,0,0,0,77,76.3,0,0
117,dataflow,FAT,Annual,Number,L,UNK,IT,2021,1,,136.1,0.01,0.55,0.45,75,61.1,0.01,0.01
118,dataflow,FAT,Annual,Number,L,UNK,IT,2022,3,,156.1,0.02,1.65,1.35,86.1,70,0.02,0.02
119,dataflow,FAT,Annual,Number,L,UNK,IT,2023,1,,158.9,0.01,0.53,0.47,84.7,74.2,0.01,0.01
120,dataflow,FAT,Annual,Number,M,UNK,IT,2014,6,,1403.4,0,3.26,2.74,762.9,640.5,0,0
121,dataflow,FAT,Annual,Number,M,UNK,IT,2015,6,,1415.8,0,3.32,2.68,782.4,633.4,0,0
122,dataflow,FAT,Annual,Number,M,UNK,IT,2016,7,,1459.2,0,3.81,3.19,793.5,665.7,0,0
123,dataflow,FAT,Annual,Number,M,UNK,IT,2017,7,,1457.3,0,3.75,3.25,781.6,675.7,0,0
124,dataflow,FAT,Annual,Number,M,UNK,IT,2018,7,,1476.5,0,3.76,3.24,792.45,684.05,0,0
125,dataflow,FAT,Annual,Number,M,UNK,IT,2019,5,,1508.6,0,2.66,2.34,801.8,706.8,0,0
126,dataflow,FAT,Annual,Number,M,UNK,IT,2020,16,break in time series,1495.1,0.01,8.63,7.37,806.4,688.7,0.01,0.01
127,dataflow,FAT,Annual,Number,M,UNK,IT,2021,6,,1484,0,3.25,2.75,803.15,680.85,0,0
128,dataflow,FAT,Annual,Number,M,UNK,IT,2022,3,,1513.1,0,1.61,1.39,814.4,698.7,0,0
129,dataflow,FAT,Annual,Number,M,UNK,IT,2023,4,,1595.7,0,2.15,1.85,857.3,738.4,0,0
130,dataflow,FAT,Annual,Number,N,UNK,IT,2014,16,,907.4,0.02,7.38,8.62,418.7,488.7,0.02,0.02
131,dataflow,FAT,Annual,Number,N,UNK,IT,2015,16,,968.3,0.02,7.63,8.37,461.6,506.7,0.02,0.02
132,dataflow,FAT,Annual,Number,N,UNK,IT,2016,12,,991.3,0.01,5.64,6.36,465.8,525.5,0.01,0.01
133,dataflow,FAT,Annual,Number,N,UNK,IT,2017,24,,965.6,0.02,11.31,12.69,454.95,510.65,0.02,0.02
134,dataflow,FAT,Annual,Number,N,UNK,IT,2018,27,,995.2,0.03,12.79,14.21,471.3,523.9,0.03,0.03
135,dataflow,FAT,Annual,Number,N,UNK,IT,2019,22,,1016.5,0.02,10.54,11.46,486.8,529.7,0.02,0.02
136,dataflow,FAT,Annual,Number,N,UNK,IT,2020,23,break in time series,952.5,0.02,10.89,12.11,450.95,501.55,0.02,0.02
137,dataflow,FAT,Annual,Number,N,UNK,IT,2021,32,,980.1,0.03,15.1,16.9,462.5,517.6,0.03,0.03
138,dataflow,FAT,Annual,Number,N,UNK,IT,2022,18,,1006.5,0.02,8.54,9.46,477.75,528.75,0.02,0.02
139,dataflow,FAT,Annual,Number,N,UNK,IT,2023,25,,973.4,0.03,11.91,13.09,463.65,509.75,0.03,0.03
140,dataflow,FAT,Annual,Number,O,UNK,IT,2014,8,,1279.7,0.01,5.26,2.74,841.5,438.2,0.01,0.01
141,dataflow,FAT,Annual,Number,O,UNK,IT,2015,7,,1293.3,0.01,4.72,2.28,872.43,420.87,0.01,0.01
142,dataflow,FAT,Annual,Number,O,UNK,IT,2016,9,,1262.2,0.01,6.01,2.99,842.5,419.7,0.01,0.01
143,dataflow,FAT,Annual,Number,O,UNK,IT,2017,5,,1259.9,0,3.28,1.72,826.1,433.8,0,0
144,dataflow,FAT,Annual,Number,O,UNK,IT,2018,11,,1235.1,0.01,7.15,3.85,802.6,432.5,0.01,0.01
145,dataflow,FAT,Annual,Number,O,UNK,IT,2019,9,,1235.8,0.01,5.86,3.14,804.9,430.9,0.01,0.01
146,dataflow,FAT,Annual,Number,O,UNK,IT,2020,55,break in time series,1199.6,0.05,35.69,19.31,778.4,421.2,0.05,0.05
147,dataflow,FAT,Annual,Number,O,UNK,IT,2021,36,,1147.7,0.03,23.3,12.7,742.9,404.8,0.03,0.03
148,dataflow,FAT,Annual,Number,O,UNK,IT,2022,5,,1142.2,0,3.27,1.73,746.4,395.8,0,0
149,dataflow,FAT,Annual,Number,O,UNK,IT,2023,9,,1181.8,0.01,5.83,3.17,765.7,416.1,0.01,0.01
150,dataflow,FAT,Annual,Number,P,UNK,IT,2014,0,,1513.3,0,0,0,384.8,1128.5,0,0
151,dataflow,FAT,Annual,Number,P,UNK,IT,2015,0,,1508.6,0,0,0,373.2,1135.4,0,0
152,dataflow,FAT,Annual,Number,P,UNK,IT,2016,0,,1542.8,0,0,0,380.3,1162.5,0,0
153,dataflow,FAT,Annual,Number,P,UNK,IT,2017,1,,1614.1,0,0.25,0.75,396.98,1217.12,0,0
154,dataflow,FAT,Annual,Number,P,UNK,IT,2018,2,,1578.6,0,0.49,1.51,385.4,1193.2,0,0
155,dataflow,FAT,Annual,Number,P,UNK,IT,2019,3,,1580,0,0.74,2.26,388,1192,0,0
156,dataflow,FAT,Annual,Number,P,UNK,IT,2020,2,break in time series,1613.7,0,0.5,1.5,405.57,1208.13,0,0
157,dataflow,FAT,Annual,Number,P,UNK,IT,2021,3,,1615.2,0,0.74,2.26,396.4,1218.8,0,0
158,dataflow,FAT,Annual,Number,P,UNK,IT,2022,3,,1603.9,0,0.76,2.24,406.6,1197.3,0,0
159,dataflow,FAT,Annual,Number,P,UNK,IT,2023,2,,1670.6,0,0.48,1.52,404.08,1266.52,0,0
160,dataflow,FAT,Annual,Number,Q,UNK,IT,2014,5,,1804.2,0,1.52,3.48,547.23,1256.97,0,0
161,dataflow,FAT,Annual,Number,Q,UNK,IT,2015,8,,1796.3,0,2.43,5.57,546.3,1250,0,0
162,dataflow,FAT,Annual,Number,Q,UNK,IT,2016,5,,1831.4,0,1.53,3.47,560.8,1270.6,0,0
163,dataflow,FAT,Annual,Number,Q,UNK,IT,2017,10,,1863.4,0.01,2.99,7.01,557.43,1305.97,0.01,0.01
164,dataflow,FAT,Annual,Number,Q,UNK,IT,2018,6,,1879.5,0,1.8,4.2,564.2,1315.3,0,0
165,dataflow,FAT,Annual,Number,Q,UNK,IT,2019,4,,1909.8,0,1.21,2.79,576.5,1333.3,0,0
166,dataflow,FAT,Annual,Number,Q,UNK,IT,2020,95,break in time series,1863.6,0.05,28.19,66.81,552.93,1310.67,0.05,0.05
167,dataflow,FAT,Annual,Number,Q,UNK,IT,2021,13,,1887.3,0.01,3.79,9.21,550.8,1336.5,0.01,0.01
168,dataflow,FAT,Annual,Number,Q,UNK,IT,2022,10,,1882.7,0.01,2.9,7.1,546.37,1336.33,0.01,0.01
169,dataflow,FAT,Annual,Number,Q,UNK,IT,2023,7,,1931.6,0,1.99,5.01,549.9,1381.7,0,0
170,dataflow,FAT,Annual,Number,R,UNK,IT,2014,3,,297.8,0.01,1.62,1.38,160.85,136.95,0.01,0.01
171,dataflow,FAT,Annual,Number,R,UNK,IT,2015,0,,303.2,0,0,0,160.9,142.3,0,0
172,dataflow,FAT,Annual,Number,R,UNK,IT,2016,4,,323.6,0.01,2.15,1.85,174.3,149.3,0.01,0.01
173,dataflow,FAT,Annual,Number,R,UNK,IT,2017,7,,334.1,0.02,4.07,2.93,194.2,139.9,0.02,0.02
174,dataflow,FAT,Annual,Number,R,UNK,IT,2018,2,,304.9,0.01,1.17,0.83,178.7,126.2,0.01,0.01
175,dataflow,FAT,Annual,Number,R,UNK,IT,2019,2,,315.2,0.01,1.16,0.84,182.3,132.9,0.01,0.01
176,dataflow,FAT,Annual,Number,R,UNK,IT,2020,2,break in time series,301.8,0.01,1.17,0.83,176.56,125.24,0.01,0.01
177,dataflow,FAT,Annual,Number,R,UNK,IT,2021,1,,264.1,0,0.57,0.43,150.3,113.8,0,0
178,dataflow,FAT,Annual,Number,R,UNK,IT,2022,3,,307.7,0.01,1.7,1.3,173.9,133.8,0.01,0.01
179,dataflow,FAT,Annual,Number,R,UNK,IT,2023,1,,334.2,0,0.57,0.43,191.8,142.4,0,0
180,dataflow,FAT,Annual,Number,S,UNK,IT,2014,2,,652.1,0,0.76,1.24,248.74,403.36,0,0
181,dataflow,FAT,Annual,Number,S,UNK,IT,2015,6,,658.8,0.01,2.33,3.67,255.56,403.24,0.01,0.01
182,dataflow,FAT,Annual,Number,S,UNK,IT,2016,4,,667.4,0.01,1.56,2.44,260.8,406.6,0.01,0.01
183,dataflow,FAT,Annual,Number,S,UNK,IT,2017,4,,693.5,0.01,1.53,2.47,265.56,427.94,0.01,0.01
184,dataflow,FAT,Annual,Number,S,UNK,IT,2018,8,,706.6,0.01,3.04,4.96,268.34,438.26,0.01,0.01
185,dataflow,FAT,Annual,Number,S,UNK,IT,2019,3,,704.3,0,1.14,1.86,268.6,435.7,0,0
186,dataflow,FAT,Annual,Number,S,UNK,IT,2020,8,break in time series,706.7,0.01,3.1,4.9,273.54,433.16,0.01,0.01
187,dataflow,FAT,Annual,Number,S,UNK,IT,2021,6,,703.3,0.01,2.23,3.77,261.36,441.94,0.01,0.01
188,dataflow,FAT,Annual,Number,S,UNK,IT,2022,5,,745.9,0.01,1.79,3.21,267.1,478.8,0.01,0.01
189,dataflow,FAT,Annual,Number,S,UNK,IT,2023,4,,709.5,0.01,1.38,2.62,245.53,463.97,0.01,0.01
190,dataflow,FAT,Annual,Number,T,UNK,IT,2014,0,,776.1,0,0,0,114.7,661.4,0,0
191,dataflow,FAT,Annual,Number,T,UNK,IT,2015,0,,786.5,0,0,0,110,676.5,0,0
192,dataflow,FAT,Annual,Number,T,UNK,IT,2016,0,,763,0,0,0,93.7,669.3,0,0
193,dataflow,FAT,Annual,Number,T,UNK,IT,2017,1,,763.4,0,0.12,0.88,95.39,668.01,0,0
194,dataflow,FAT,Annual,Number,T,UNK,IT,2018,0,,736.9,0,0,0,90.1,646.8,0,0
195,dataflow,FAT,Annual,Number,T,UNK,IT,2019,0,,711.4,0,0,0,84.9,626.5,0,0
196,dataflow,FAT,Annual,Number,T,UNK,IT,2020,0,break in time series,640,0,0,0,79.41,560.59,0,0
197,dataflow,FAT,Annual,Number,T,UNK,IT,2021,0,,666.4,0,0,0,81.6,584.8,0,0
198,dataflow,FAT,Annual,Number,T,UNK,IT,2022,0,,637.4,0,0,0,81.1,556.3,0,0
199,dataflow,FAT,Annual,Number,T,UNK,IT,2023,0,,614.6,0,0,0,78.9,535.7,0,0
200,dataflow,FAT,Annual,Number,U,UNK,IT,2014,0,,16,0,0,0,9.8,6.2,0,0
201,dataflow,FAT,Annual,Number,U,UNK,IT,2015,0,,16.6,0,0,0,9.1,7.5,0,0
202,dataflow,FAT,Annual,Number,U,UNK,IT,2016,0,,15.4,0,0,0,7.7,7.7,0,0
203,dataflow,FAT,Annual,Number,U,UNK,IT,2017,0,,19.1,0,0,0,7.8,11.3,0,0
