eit_id,structure,structure_name,time_frequency,age_id,sex_id,activity_id,isco08_deescription,unit_description,country_id,time_period,obs_value,observation_status
98,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,J,Total,Thousand persons,IT,2022,210.4,
99,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,J,Total,Thousand persons,IT,2023,228.5,
100,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2014,277.6,
101,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2015,291.4,
102,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2016,285.9,
103,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2017,285.6,
104,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2018,283.2,break in time series
105,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2019,285.8,
106,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2020,288.6,
107,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2021,299.6,break in time series
108,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2022,285.1,
109,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,K,Total,Thousand persons,IT,2023,268,
110,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2014,52,
111,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2015,58.2,
112,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2016,63.4,
113,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2017,61.5,
114,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2018,62.6,break in time series
115,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2019,75.5,
116,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2020,76.3,
117,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2021,61.1,break in time series
118,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2022,70,
119,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,L,Total,Thousand persons,IT,2023,74.2,
120,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2014,640.5,
121,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2015,633.4,
122,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2016,665.7,
123,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2017,675.7,
124,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2018,684.1,break in time series
125,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2019,706.8,
126,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2020,688.7,
127,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2021,680.9,break in time series
128,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2022,698.7,
129,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,M,Total,Thousand persons,IT,2023,738.4,
130,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2014,488.7,
131,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2015,506.7,
132,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2016,525.5,
133,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2017,510.7,
134,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2018,523.9,break in time series
135,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2019,529.7,
136,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2020,501.5,
137,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2021,517.6,break in time series
138,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2022,528.8,
139,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,N,Total,Thousand persons,IT,2023,509.7,
140,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2014,438.2,
141,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2015,420.9,
142,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2016,419.7,
143,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2017,433.8,
144,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2018,432.5,break in time series
145,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2019,430.9,
146,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2020,421.2,
147,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2021,404.8,break in time series
148,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2022,395.8,
149,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,O,Total,Thousand persons,IT,2023,416.1,
150,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2014,1128.5,
151,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2015,1135.4,
152,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2016,1162.5,
153,dataflow,Employed persons by occupation and economic activity (NACE Rev. 2) (2008-2026),Annual,Y_GE15,F,P,Total,Thousand persons,IT,2017,1217.2,
